Date,ShopName,Prefecture,longitude,latitude,Open
2017-04-21,対馬穴子や イオンSENRITO店,大阪府,135.4920338797818,34.80854258503822,1
2017-03-29,だるまうなぎ金城ふ頭店,愛知県,136.8448354797679,35.05041738044243,1
2017-03-10,今日が丑の日,東京都,139.68176897978557,35.73058518027989,1
2016-12-05,横田屋まさ,秋田県,140.11503687950946,39.71625360596635,1
2016-12-01,おだに家,高知県,133.53613077945838,33.56089508083683,1
2016-11-25,志乃ざき 吉祥寺店,東京都,139.58281867951965,35.70061198028678,1
2016-11-21,うなぎ徳 大阪店,大阪府,135.4928046793708,34.70296429070103,1
2016-11-02,二代目宇奈まろ 新橋店,東京都,139.75367087939603,35.665443838542586,1
2016-09-16,うなぎ亭 一座,兵庫県,134.63409647949518,34.86356568208216,1
2016-07-27,ひつまぶし う家 名駅店,愛知県,136.88387667954615,35.16991736554754,1
2016-07-11,橋本屋 神戸店,兵庫県,135.17040667953435,34.6759083921493,1
2016-06-28,中ノ庄,静岡県,137.72925167953488,34.702697390715,1
2016-06-24,割烹蒲焼 八十八 石川町店,神奈川県,139.64205267955273,35.438636350942716,1
2016-06-15,うな菊,奈良県,135.83233267953457,34.68178239183495,1
2016-05-07,うなぎ 八十八 町田店,東京都,139.44692167952448,35.54135434533504,1
2016-05-06,じん田食堂,大阪府,135.51057367950415,34.70725639047075,1
2016-04-28,鰻・割烹 曙覧(あけみ),福井県,136.21966867953736,36.06128131673989,1
2016-04-28,かばやき屋,石川県,136.60258867955105,36.59547528699485,1
2016-04-25,日本一セブンパークアリオ柏店,千葉県,140.01084567955021,35.833918329287634,1
2016-04-20,江戸川 KITTE博多店,福岡県,130.41723367949638,33.58891244954584,1
2016-04-20,天ぷら新宿つな八 KITTE博多店,福岡県,130.41723367949638,33.58891244954584,1
2016-04-01,うなぎ 八十八 町田店,東京都,139.44670867957916,35.541208345342994,1
2016-03-31,うなぎ徳 銀座店,東京都,139.76050267958232,35.67241033816028,1
2016-03-09,うなぎ藤田 白金台店,東京都,139.72058167974401,35.63966298030085,1
2016-03-08,ひつまぶし名古屋備長 大名古屋ビルヂング店,愛知県,136.88235267973178,35.17201798041256,1
2016-02-09,日本一 エミオ田無店,東京都,139.5370086797292,35.72748698028051,1
2015-12-04,日本一 アピタ岩倉店,愛知県,136.87081831534013,35.275932980290776,1
2015-12-02,稲生 長島ジャズドリーム店,三重県,136.7250350210291,35.02866698044768,1
2015-11-25,銀座 縁 アトレ浦和店,埼玉県,139.6553583152576,35.8583199801534,1
2015-10-21,彦星,埼玉県,139.6539082050466,35.85834898015336,1
2015-08-08,三河一色産 炭火焼き活うなぎ うなぎのしろむら,愛知県,136.91166700000002,35.175733,1
2015-06-12,うな道,山口県,131.665035,34.648526000000004,1
2015-03-27,日本一イオンモール旭川駅前店,北海道,142.35794099999998,43.764176,1
2015-03-22,渋谷松川 東急プラザ店,東京都,139.700222,35.6577,1
2015-03-19,東京風鰻料理 江戸川 天王寺店,大阪府,135.51454900000002,34.64677100000001,1
2013-01-06,名代宇奈とと　新橋本店,東京都,36.521717,139.03334,1
2012-07-06,丸亀製麺我孫子店,千葉県,36.5626,136.362305,1
2012-05-21,鰻　駒形 前川 東京スカイツリータウン　ソラマチ店,東京都,36.5626,136.362305,1
2021-03-03,ふな与,東京都,139.5892784001091,35.75074361499216,0
2020-12-26,川甚,東京都,139.88014190562447,35.75929028017616,0
2020-11-26,うなぎや八万店,徳島県,134.55107662925852,34.046392098787955,0
2020-11-05,UNAGI DININGという、選択。,高知県,133.54790160558125,33.56173168074234,0
2020-10-23,うなぎ 魚弘,岐阜県,137.1274152056158,35.33153688027721,0
2020-03-26,うなぎの竹若,東京都,139.6669255058172,35.65950808019953,0
2020-02-24,いけす,兵庫県,135.35014930579902,34.74847238042222,0
2019-10-03,鰻や 竹うち 本店,大阪府,135.470322313131,34.58089788046544,0
2019-09-24,柳光亭,静岡県,138.93298281408104,34.992653067470066,0
2019-09-23,小島家,神奈川県,139.6226608292609,35.41230099876612,0
2018-12-18,松よし,東京都,139.77750622691042,35.68174833258545,0
2018-12-16,ひつまぶし どんぶり稲生 中日ビル店,愛知県,136.90741178000113,35.16850658041335,0
2018-11-18,味舗 うな泰,高知県,133.54199557839905,33.557878868201534,0
2018-10-01,うなぎ双葉 小田急百貨店,東京都,139.69867745885298,35.69070180620677,0
2018-10-01,うなぎ双葉 京王モール店,東京都,139.69796773958373,35.69021062778884,0
2018-08-23,うなどん丼 秋葉原末広町店,東京都,139.7690261153682,35.70312663637804,0
2018-08-14,大松,愛知県,136.90504721384724,35.160056353065585,0
2018-08-07,やわら亭,千葉県,140.13088031542645,35.80495633078349,0
2018-07-04,うなぎの網元,静岡県,137.67678119169778,34.756920887808285,0
2018-06-22,ひめ本陣 まるや恵那店,岐阜県,137.427385712405,35.4554019649325,0
2018-03-21,うなぎ料理川広,三重県,136.72369417713594,34.48920928058482,0
2017-12-30,大貫うなぎ,静岡県,137.72897041548723,34.70417079053962,0
2017-05-27,焼肉オレンジハウス,新潟県,139.0200031799054,37.89887727983614,0
2016-12-28,三満寿,京都府,135.76510297987147,35.004704780453636,0
2016-12-26,むさし野 本店,神奈川県,139.65671847979772,35.57295238031649,0
2016-10-25,まるや本店 新栄店,愛知県,136.91296981494713,35.16891106550604,0
2016-10-15,とろ一,富山県,137.23666781526288,36.6923425799709,0
2016-02-10,一六本舗 西条産業道路店,愛媛県,133.175437679682,33.92652198073508,0
2015-09-30,鐵五郎,東京都,139.75074200000003,35.669143999999996,0
2015-07-31,膳 そごう柏店,千葉県,139.97243899999998,35.86321099999999,0
2015-07-25,うな茂 四ツ橋店,大阪府,135.49563999999998,34.676088,0
2013-01-30,浅羽屋,神奈川県,35.668371,139.706903,0
2012-12-21,名代 宇奈とと 新橋店,東京都,36.521717,139.03334,0
2012-11-16,鰻　登亭　神田駅前店,東京都,35.668412,139.601098,0
2012-09-17,うなぎ・小料理 田川,東京都,38.259105,140.885255,0
2012-04-06,古座　東うなぎ店,和歌山県,43.795323,143.880429,0
2012-02-16,鰻割烹 宮城屋,東京都,36.5626,136.362305,0
2012-02-04,大和田本店,東京都,36.32337,139.011171,0
2012-01-04,うなぎ 水泉園,静岡県,36.5626,136.362305,0
2011-09-25,うなぎ松直,神奈川県,35.620444,139.423026,0
