Date,ShopName,longitude,latitude
2020-09-22,PRONTO プロント 大宮ラクーン店,38.424966,141.27981
2020-09-20,Café＆Meal_MUJIシエスタハコダテ,38.424966,141.27981
2020-09-20,MAISON KAYSER Table(メゾン カイザー テーブル) 渋谷ヒカリエ店,38.424966,141.27981
2020-09-18,桜道Cafe,38.424966,141.27981
2020-09-16,KING GEORGE キングジョージ,38.424966,141.27981
2020-09-15,FRANCOIS（フランソワ）,38.424966,141.27981
2020-09-15,黒酢レストラン 黒酢本舗 桷志田 なんばスカイオ店,38.424966,141.27981
2020-09-14,Legare,38.424966,141.27981
2020-09-12,モスカフェ烏丸六角店,38.424966,141.27981
2020-09-12,Cafe Mamma,38.424966,141.27981
2020-09-11,サンマルクカフェ 山手台店,38.424966,141.27981
2020-09-08,Cafe ＆ Bar Milano 草加店,38.424966,141.27981
2020-09-08,コトリカフェ,38.424966,141.27981
2020-09-07,Brown Drop,38.424966,141.27981
2020-09-07,Spoke Cafe（スポークカフェ）,38.424966,141.27981
2020-09-07,Cafe de mori-kun STAND,38.424966,141.27981
2020-09-07,俺のBakery＆Cafe 新宿京王モール,38.424966,141.27981
2020-09-06,サンマルクカフェ MEGAドン・キホーテ港山下ナナイロ店,38.424966,141.27981
2020-09-06,ロイヤルガーデンカフェ目白,38.424966,141.27981
2020-09-05,しろくまカフェ高田馬場店,38.424966,141.27981
2020-09-04,M’s CAFE（エムズカフェ）,38.424966,141.27981
2020-09-03,不二家レストラン 大和つきみ野店,38.424966,141.27981
2020-09-03,不二家 レストラン津島店,38.424966,141.27981
2020-09-02,サンドッグイン神戸屋 八重洲店,38.424966,141.27981
2020-09-02,ポムポムプリンカフェ 横浜店,38.424966,141.27981
2020-09-01,カフェ青山 イオンスタイル新百合ヶ丘店,38.424966,141.27981
2020-08-30,アンテノール武庫之荘店,38.424966,141.27981
2020-08-29,緋毬,38.424966,141.27981
2020-08-28,サンマルクカフェ MEGAドン・キホーテ函館店,38.424966,141.27981
2020-08-27,CafetheLaunch 中洲店,38.424966,141.27981
2020-08-26,Cafe mog,38.424966,141.27981
2020-08-26,カフェ＆パスタ ドーノドーノ仙台泉店,38.424966,141.27981
2020-08-25,PRONTO 東京ソラマチ店,38.424966,141.27981
2020-08-24,レストラン エア・ポート,38.424966,141.27981
2020-08-23,シャポーブラン八事店,38.424966,141.27981
2020-08-22,不二家レストラン宇都宮東武店,38.424966,141.27981
2020-08-22,PRONTO プロント 浅草店,38.424966,141.27981
2020-08-22,PRONTO プロント 虎ノ門1丁目店,38.424966,141.27981
2020-08-22,PRONTO プロント 立川北口店,38.424966,141.27981
2020-08-19,ミールカフェ 名古屋店,38.424966,141.27981
2020-08-18,NEW YORKER’S Cafe 町田店,38.424966,141.27981
2020-08-14,cafe Morozoff（カフェ モロゾフ）イオンレイクタウン店,38.424966,141.27981
2020-08-13,Alee Beach（アリービーチ）渋谷宇田川町店,38.424966,141.27981
2020-08-13,PRONTO プロント 亀有店,38.424966,141.27981
2020-08-11,Gagnon Café ギャニオンカフェ,38.424966,141.27981
2020-08-11,Caffe Macolla（カフェ マコーラ）,38.424966,141.27981
2020-08-10,つんつんぶんのりんご,38.424966,141.27981
2020-08-10,イートン桜町店,38.424966,141.27981
2020-08-09,エルメス御堂筋店,38.424966,141.27981
2020-08-08,HanamizukiCafe 宇都宮店,38.424966,141.27981
2020-08-08,HanamizukiCafe 仙台店,38.424966,141.27981
2020-08-07,PRONTO 福岡赤坂店,38.424966,141.27981
2020-08-03,アニメプラザ池袋店,38.424966,141.27981
2020-08-02,PRONTO 池袋サンシャイン通り店,38.424966,141.27981
2020-08-01,cafe & bar What A Wonderful World（cafe & bar W3D）,38.424966,141.27981
2020-07-28,Café_MUJIアトレヴィ巣鴨,38.424966,141.27981
2020-07-24,カフェダイニング・J,38.424966,141.27981
